density,trial,mode,ok,ms,expansions,path_cells
0.15,0,dijkstra,True,7.0514,2080,88
0.15,0,astar,True,3.8096,1140,88
0.15,0,jps4,True,3.4307,409,88
0.15,1,dijkstra,True,6.2919,2041,76
0.15,1,astar,True,2.7805,747,76
0.15,1,jps4,True,10.9842,1346,92
0.15,2,dijkstra,True,7.4074,2017,71
0.15,2,astar,True,2.8465,854,71
0.15,2,jps4,True,2.9157,282,71
0.15,3,dijkstra,True,7.081,1931,72
0.15,3,astar,True,2.4921,752,72
0.15,3,jps4,True,2.6373,319,74
0.15,4,dijkstra,True,6.596,2061,76
0.15,4,astar,True,3.2822,970,76
0.15,4,jps4,True,3.0408,342,76
0.15,5,dijkstra,True,6.4269,2097,85
0.15,5,astar,True,4.1606,1147,85
0.15,5,jps4,True,2.5881,313,85
0.15,6,dijkstra,True,6.507,2028,73
0.15,6,astar,True,3.3658,897,73
0.15,6,jps4,True,1.8295,219,73
0.15,7,dijkstra,True,6.5163,2090,74
0.15,7,astar,True,3.1279,851,74
0.15,7,jps4,True,6.8232,606,76
0.15,8,dijkstra,True,8.484,2138,87
0.15,8,astar,True,6.0745,1360,87
0.15,8,jps4,True,8.4179,814,89
0.15,9,dijkstra,True,7.2026,2093,76
0.15,9,astar,True,3.496,934,76
0.15,9,jps4,True,4.3191,425,76
0.15,10,dijkstra,True,7.1614,2083,82
0.15,10,astar,True,5.1644,1402,82
0.15,10,jps4,True,5.4536,661,82
0.15,11,dijkstra,True,7.1211,2094,76
0.15,11,astar,True,4.3047,1141,76
0.15,11,jps4,True,6.8015,788,76
0.15,12,dijkstra,True,6.5753,2056,78
0.15,12,astar,True,4.0066,1217,78
0.15,12,jps4,True,4.5231,541,78
0.15,13,dijkstra,True,6.3788,2014,68
0.15,13,astar,True,2.4258,721,68
0.15,13,jps4,True,3.1528,378,68
0.15,14,dijkstra,True,6.7477,2111,80
0.15,14,astar,True,3.5258,1043,80
0.15,14,jps4,True,5.7876,696,82
0.15,15,dijkstra,True,6.584,2059,84
0.15,15,astar,True,4.4929,1228,84
0.15,15,jps4,True,5.8327,554,84
0.15,16,dijkstra,True,7.1958,2079,81
0.15,16,astar,True,4.11,1038,81
0.15,16,jps4,True,2.7462,293,81
0.15,17,dijkstra,True,6.4245,2043,72
0.15,17,astar,True,3.3188,955,72
0.15,17,jps4,True,2.8334,336,72
0.15,18,dijkstra,True,6.0354,1892,68
0.15,18,astar,True,2.4624,737,68
0.15,18,jps4,True,3.1916,385,68
0.15,19,dijkstra,True,10.6269,2093,72
0.15,19,astar,True,3.3104,995,72
0.15,19,jps4,True,3.5292,375,72
0.15,20,dijkstra,True,7.2173,2148,79
0.15,20,astar,True,4.1152,1028,79
0.15,20,jps4,True,5.993,619,79
0.15,21,dijkstra,True,8.4831,2107,89
0.15,21,astar,True,5.1337,1379,89
0.15,21,jps4,True,3.5917,392,89
0.15,22,dijkstra,True,7.0577,2065,77
0.15,22,astar,True,3.9373,1027,77
0.15,22,jps4,True,2.9932,341,77
0.15,23,dijkstra,True,6.4331,2073,69
0.15,23,astar,True,4.0428,909,69
0.15,23,jps4,True,2.9403,287,69
0.28,0,dijkstra,True,5.1885,1778,84
0.28,0,astar,True,1.9818,586,84
0.28,0,jps4,True,14.2165,2042,84
0.28,1,dijkstra,True,4.3562,1487,81
0.28,1,astar,True,2.1765,640,81
0.28,1,jps4,True,2.1221,647,81
0.28,2,dijkstra,True,5.1222,1693,91
0.28,2,astar,True,2.4054,736,91
0.28,2,jps4,True,3.1921,378,93
0.28,3,dijkstra,True,5.395,1748,83
0.28,3,astar,True,1.5694,410,83
0.28,3,jps4,True,1.2603,142,83
0.28,4,dijkstra,True,5.0306,1717,82
0.28,4,astar,True,2.6583,738,82
0.28,4,jps4,True,12.5024,1961,82
0.28,5,dijkstra,True,5.109,1734,75
0.28,5,astar,True,2.6127,783,75
0.28,5,jps4,True,2.3634,271,75
0.28,6,dijkstra,True,4.6319,1622,73
0.28,6,astar,True,1.5252,486,73
0.28,6,jps4,True,2.2886,569,73
0.28,7,dijkstra,True,5.1804,1731,78
0.28,7,astar,True,2.3173,709,78
0.28,7,jps4,True,2.3818,281,78
0.28,8,dijkstra,True,5.2992,1716,82
0.28,8,astar,True,1.7391,510,82
0.28,8,jps4,True,2.9222,352,92
0.28,9,dijkstra,True,5.1631,1771,92
0.28,9,astar,True,3.0423,849,92
0.28,9,jps4,True,4.6946,577,96
0.28,10,dijkstra,True,3.2757,1141,72
0.28,10,astar,True,0.9954,294,72
0.28,10,jps4,True,1.3801,323,72
