density,trial,mode,ok,ms,expansions,path_cells
0.28,11,dijkstra,True,4.8496,1637,91
0.28,11,astar,True,2.5122,765,91
0.28,11,jps4,True,2.6279,784,91
0.28,12,dijkstra,True,4.9522,1726,86
0.28,12,astar,True,2.1702,670,86
0.28,12,jps4,True,2.2941,675,86
0.28,13,dijkstra,True,4.9438,1590,67
0.28,13,astar,True,1.3492,423,67
0.28,13,jps4,True,2.2839,277,67
0.28,14,dijkstra,True,4.4071,1449,79
0.28,14,astar,True,1.7129,517,79
0.28,14,jps4,True,1.7415,532,79
0.28,15,dijkstra,True,5.2132,1724,82
0.28,15,astar,True,2.2269,636,82
0.28,15,jps4,True,1.9585,239,86
0.28,16,dijkstra,True,4.8238,1649,76
0.28,16,astar,True,2.3287,727,76
0.28,16,jps4,True,12.5946,1974,76
0.28,17,dijkstra,True,5.2825,1705,71
0.28,17,astar,True,1.8675,566,71
0.28,17,jps4,True,12.9068,1868,71
0.28,18,dijkstra,True,5.1587,1758,77
0.28,18,astar,True,1.708,515,77
0.28,18,jps4,True,3.3458,377,89
0.28,19,dijkstra,True,5.2585,1773,87
0.28,19,astar,True,2.9829,925,87
0.28,19,jps4,True,14.248,2259,87
0.28,20,dijkstra,True,4.4372,1410,66
0.28,20,astar,True,0.8414,261,66
0.28,20,jps4,True,2.7819,331,70
0.28,21,dijkstra,True,5.4061,1742,93
0.28,21,astar,True,3.7666,1146,93
0.28,21,jps4,True,16.0611,2474,93
0.28,22,dijkstra,True,5.2908,1783,83
0.28,22,astar,True,1.9297,588,83
0.28,22,jps4,True,13.4776,1992,83
0.28,23,dijkstra,True,5.1444,1736,82
0.28,23,astar,True,2.2586,615,82
0.28,23,jps4,True,13.5452,1950,82
0.4,0,dijkstra,True,3.047,1126,96
0.4,0,astar,True,1.9578,660,96
0.4,0,jps4,True,2.9439,751,96
0.4,1,dijkstra,True,2.2797,799,79
0.4,1,astar,True,0.9242,299,79
0.4,1,jps4,True,1.2886,356,79
0.4,2,dijkstra,True,2.348,840,87
0.4,2,astar,True,1.3703,304,87
0.4,2,jps4,True,5.8082,902,87
0.4,3,dijkstra,True,3.1671,990,87
0.4,3,astar,True,1.465,452,87
0.4,3,jps4,True,4.8968,877,87
0.4,4,dijkstra,True,2.2745,820,108
0.4,4,astar,True,1.973,636,108
0.4,4,jps4,True,3.6008,814,108
0.4,5,dijkstra,True,2.5099,915,113
0.4,5,astar,True,1.8812,517,113
0.4,5,jps4,True,2.0618,580,113
0.4,6,dijkstra,True,1.8619,678,80
0.4,6,astar,True,0.9074,292,80
0.4,6,jps4,True,3.1716,592,80
0.4,7,dijkstra,True,2.6195,954,99
0.4,7,astar,True,1.9748,647,99
0.4,7,jps4,True,3.08,787,99
0.4,8,dijkstra,True,1.9926,668,108
0.4,8,astar,True,1.564,441,108
0.4,8,jps4,True,3.0218,624,108
0.4,9,dijkstra,True,2.9382,1051,80
0.4,9,astar,True,1.2235,393,80
0.4,9,jps4,True,4.0099,556,80
0.4,10,dijkstra,True,2.9428,778,93
0.4,10,astar,True,1.1404,365,93
0.4,10,jps4,True,4.2119,709,93
0.4,11,dijkstra,True,2.9646,847,89
0.4,11,astar,True,0.8747,276,89
0.4,11,jps4,True,1.8641,356,89
0.4,12,dijkstra,True,3.7712,1295,148
0.4,12,astar,True,4.3479,997,148
0.4,12,jps4,True,3.7577,1045,148
0.4,13,dijkstra,True,2.87,822,121
0.4,13,astar,True,1.8853,634,121
0.4,13,jps4,True,3.7925,725,121
0.4,14,dijkstra,True,2.4699,856,86
0.4,14,astar,True,1.4857,472,86
0.4,14,jps4,True,1.6016,495,86
0.4,15,dijkstra,True,3.0035,1082,106
0.4,15,astar,True,1.8918,618,106
0.4,15,jps4,True,2.5598,655,106
0.4,16,dijkstra,True,2.6579,718,77
0.4,16,astar,True,0.9865,325,77
0.4,16,jps4,True,3.9454,699,77
0.4,17,dijkstra,True,2.3752,799,89
0.4,17,astar,True,1.5925,392,89
0.4,17,jps4,True,1.4094,409,89
0.4,18,dijkstra,True,3.4765,1072,81
0.4,18,astar,True,0.9937,320,81
0.4,18,jps4,True,2.249,476,81
0.4,19,dijkstra,True,3.1846,1157,91
0.4,19,astar,True,2.4724,810,91
0.4,19,jps4,True,3.413,919,91
0.4,20,dijkstra,True,2.0275,710,118
0.4,20,astar,True,1.6962,572,118
0.4,20,jps4,True,2.5822,681,118
0.4,21,dijkstra,True,2.8817,908,118
0.4,21,astar,True,2.3068,786,118
0.4,21,jps4,True,2.6702,815,118
0.4,22,dijkstra,True,2.2794,834,113
0.4,22,astar,True,1.7307,563,113
0.4,22,jps4,True,4.4313,858,113
0.4,23,dijkstra,True,3.5607,1240,93
0.4,23,astar,True,2.189,547,93
0.4,23,jps4,True,2.7882,678,93
