trial,width,height,density,mode,ok,ms,expansions,path_cells
0,50,50,0.1,dijkstra,True,7.2705,2244,99
0,50,50,0.1,astar,True,7.7805,2120,99
0,50,50,0.1,jps4,True,6.3047,639,99
1,50,50,0.1,dijkstra,True,8.2875,2287,99
1,50,50,0.1,astar,True,6.8965,2066,99
1,50,50,0.1,jps4,True,4.3161,565,99
2,50,50,0.1,dijkstra,True,8.1752,2230,99
2,50,50,0.1,astar,True,6.2986,1876,99
2,50,50,0.1,jps4,True,4.3313,590,99
3,50,50,0.1,dijkstra,True,8.6529,2266,99
3,50,50,0.1,astar,True,8.0616,1941,99
3,50,50,0.1,jps4,True,3.9892,530,99
4,50,50,0.1,dijkstra,True,9.8509,2261,98
4,50,50,0.1,astar,True,7.778,2002,98
4,50,50,0.1,jps4,True,5.5574,613,98
5,50,50,0.1,dijkstra,True,8.6781,2272,99
5,50,50,0.1,astar,True,9.097,2121,99
5,50,50,0.1,jps4,True,4.3488,576,99
6,50,50,0.1,dijkstra,True,8.2611,2248,99
6,50,50,0.1,astar,True,6.1659,1839,99
6,50,50,0.1,jps4,True,3.5764,519,99
7,50,50,0.1,dijkstra,True,7.5108,2208,99
7,50,50,0.1,astar,True,6.3888,1910,99
7,50,50,0.1,jps4,True,4.3177,609,99
8,50,50,0.1,dijkstra,True,8.1525,2275,99
8,50,50,0.1,astar,True,6.4829,1936,99
8,50,50,0.1,jps4,True,4.7294,563,99
9,50,50,0.1,dijkstra,True,7.8564,2237,98
9,50,50,0.1,astar,True,6.3593,1769,98
9,50,50,0.1,jps4,True,3.3672,519,98
10,50,50,0.1,dijkstra,True,9.9106,2258,99
10,50,50,0.1,astar,True,7.3929,2003,99
10,50,50,0.1,jps4,True,4.059,558,99
11,50,50,0.1,dijkstra,True,7.4549,2260,99
11,50,50,0.1,astar,True,7.915,2016,99
11,50,50,0.1,jps4,True,4.0306,590,99
12,50,50,0.1,dijkstra,True,6.9971,2247,99
12,50,50,0.1,astar,True,7.2669,1949,99
12,50,50,0.1,jps4,True,3.9036,563,99
13,50,50,0.1,dijkstra,True,7.0665,2245,99
13,50,50,0.1,astar,True,6.3453,1644,99
13,50,50,0.1,jps4,True,3.5013,498,99
14,50,50,0.1,dijkstra,True,6.9526,2266,99
14,50,50,0.1,astar,True,7.6067,1994,99
14,50,50,0.1,jps4,True,4.2631,586,99
15,50,50,0.1,dijkstra,True,7.1881,2273,98
15,50,50,0.1,astar,True,8.0219,2122,98
15,50,50,0.1,jps4,True,3.9617,576,98
16,50,50,0.1,dijkstra,True,7.0456,2239,97
16,50,50,0.1,astar,True,6.2969,1650,97
16,50,50,0.1,jps4,True,3.9724,546,97
17,50,50,0.1,dijkstra,True,7.817,2223,99
17,50,50,0.1,astar,True,7.5592,1926,99
17,50,50,0.1,jps4,True,4.3331,620,99
18,50,50,0.1,dijkstra,True,7.0762,2255,99
18,50,50,0.1,astar,True,8.8191,2078,99
18,50,50,0.1,jps4,True,3.8183,583,99
19,50,50,0.1,dijkstra,True,7.1169,2263,99
19,50,50,0.1,astar,True,7.6207,2078,99
19,50,50,0.1,jps4,True,3.7081,522,99
20,50,50,0.1,dijkstra,True,6.9777,2219,99
20,50,50,0.1,astar,True,7.6218,2012,99
20,50,50,0.1,jps4,True,4.044,586,99
21,50,50,0.1,dijkstra,True,7.0011,2243,99
21,50,50,0.1,astar,True,7.341,2089,99
21,50,50,0.1,jps4,True,4.2324,603,99
22,50,50,0.1,dijkstra,True,7.0223,2228,100
22,50,50,0.1,astar,True,6.642,1744,100
22,50,50,0.1,jps4,True,3.9849,503,100
23,50,50,0.1,dijkstra,True,7.2629,2229,99
23,50,50,0.1,astar,True,7.538,2028,99
23,50,50,0.1,jps4,True,4.2888,626,99
24,50,50,0.1,dijkstra,True,6.9616,2203,99
24,50,50,0.1,astar,True,6.7042,1783,99
24,50,50,0.1,jps4,True,3.879,592,99
25,50,50,0.1,dijkstra,True,7.8357,2252,98
25,50,50,0.1,astar,True,6.56,1858,98
25,50,50,0.1,jps4,True,3.622,529,98
26,50,50,0.1,dijkstra,True,6.9197,2250,99
26,50,50,0.1,astar,True,6.6709,1883,99
26,50,50,0.1,jps4,True,4.3839,522,99
27,50,50,0.1,dijkstra,True,7.0041,2241,99
27,50,50,0.1,astar,True,7.2496,2108,99
27,50,50,0.1,jps4,True,3.991,590,99
28,50,50,0.1,dijkstra,True,7.322,2265,99
28,50,50,0.1,astar,True,6.9325,2060,99
28,50,50,0.1,jps4,True,4.5095,593,99
29,50,50,0.1,dijkstra,True,7.5224,2237,99
29,50,50,0.1,astar,True,6.2488,1885,99
29,50,50,0.1,jps4,True,4.7446,607,99
0,50,50,0.15,dijkstra,True,9.8162,2150,98
0,50,50,0.15,astar,True,7.1508,1776,98
0,50,50,0.15,jps4,True,5.6909,631,98
1,50,50,0.15,dijkstra,True,39.2809,2131,99
1,50,50,0.15,astar,True,13.4435,1637,99
1,50,50,0.15,jps4,True,7.6476,606,99
2,50,50,0.15,dijkstra,True,7.8411,2139,100
2,50,50,0.15,astar,True,6.6572,1943,100
2,50,50,0.15,jps4,True,5.1331,790,100
3,50,50,0.15,dijkstra,True,7.5028,2124,98
3,50,50,0.15,astar,True,6.4298,1709,98
3,50,50,0.15,jps4,True,5.357,717,98
4,50,50,0.15,dijkstra,True,9.4789,2128,97
4,50,50,0.15,astar,True,7.7831,1550,97
4,50,50,0.15,jps4,True,4.6615,591,97
5,50,50,0.15,dijkstra,True,9.1418,2121,99
5,50,50,0.15,astar,True,6.0529,1586,99
5,50,50,0.15,jps4,True,3.8287,598,99
6,50,50,0.15,dijkstra,True,6.6758,2097,99
6,50,50,0.15,astar,True,7.2732,1998,99
6,50,50,0.15,jps4,True,6.74,935,99
7,50,50,0.15,dijkstra,True,6.8375,2144,98
7,50,50,0.15,astar,True,5.4937,1532,98
7,50,50,0.15,jps4,True,3.6326,566,98
8,50,50,0.15,dijkstra,True,7.4152,2104,98
8,50,50,0.15,astar,True,6.0121,1523,98
8,50,50,0.15,jps4,True,3.7035,626,98
9,50,50,0.15,dijkstra,True,6.7837,2098,98
9,50,50,0.15,astar,True,4.5125,1266,98
9,50,50,0.15,jps4,True,2.9613,492,98
10,50,50,0.15,dijkstra,True,7.2894,2126,100
10,50,50,0.15,astar,True,5.4023,1498,100
10,50,50,0.15,jps4,True,3.768,525,100
11,50,50,0.15,dijkstra,True,7.1365,2117,99
11,50,50,0.15,astar,True,5.418,1657,99
11,50,50,0.15,jps4,True,3.8693,630,99
12,50,50,0.15,dijkstra,True,7.1438,2109,98
12,50,50,0.15,astar,True,6.3963,1747,98
12,50,50,0.15,jps4,True,5.2323,738,98
13,50,50,0.15,dijkstra,True,6.8795,2123,98
13,50,50,0.15,astar,True,4.6899,1326,98
13,50,50,0.15,jps4,True,3.5671,510,98
14,50,50,0.15,dijkstra,True,6.7219,2130,99
14,50,50,0.15,astar,True,5.6872,1599,99
14,50,50,0.15,jps4,True,3.7042,603,99
15,50,50,0.15,dijkstra,True,6.837,2112,98
15,50,50,0.15,astar,True,5.5237,1421,98
15,50,50,0.15,jps4,True,3.2731,549,98
16,50,50,0.15,dijkstra,True,6.6339,2143,99
16,50,50,0.15,astar,True,5.7124,1558,99
16,50,50,0.15,jps4,True,3.7691,570,99
17,50,50,0.15,dijkstra,True,7.2371,2138,99
17,50,50,0.15,astar,True,5.8469,1665,99
17,50,50,0.15,jps4,True,3.9779,652,99
18,50,50,0.15,dijkstra,True,7.3814,2070,99
18,50,50,0.15,astar,True,5.1252,1543,99
18,50,50,0.15,jps4,True,4.5304,665,99
19,50,50,0.15,dijkstra,True,7.5143,2104,100
19,50,50,0.15,astar,True,6.3743,1892,100
19,50,50,0.15,jps4,True,5.8998,808,100
20,50,50,0.15,dijkstra,True,7.0645,2112,99
20,50,50,0.15,astar,True,5.6927,1715,99
20,50,50,0.15,jps4,True,4.9176,677,99
21,50,50,0.15,dijkstra,True,7.067,2118,99
21,50,50,0.15,astar,True,5.5307,1658,99
21,50,50,0.15,jps4,True,4.0221,639,99
22,50,50,0.15,dijkstra,True,6.9574,2171,98
22,50,50,0.15,astar,True,5.1547,1538,98
22,50,50,0.15,jps4,True,3.6728,573,98
23,50,50,0.15,dijkstra,True,6.6495,2121,99
23,50,50,0.15,astar,True,6.5331,1716,99
23,50,50,0.15,jps4,True,4.9123,672,99
24,50,50,0.15,dijkstra,True,7.1801,2111,97
24,50,50,0.15,astar,True,7.0756,1908,97
24,50,50,0.15,jps4,True,4.783,792,97
25,50,50,0.15,dijkstra,True,6.5683,2118,99
25,50,50,0.15,astar,True,5.7606,1549,99
25,50,50,0.15,jps4,True,3.9398,615,99
26,50,50,0.15,dijkstra,True,6.6005,2114,99
26,50,50,0.15,astar,True,6.2697,1683,99
26,50,50,0.15,jps4,True,3.8361,627,99
27,50,50,0.15,dijkstra,True,7.0717,2108,99
27,50,50,0.15,astar,True,5.6563,1587,99
27,50,50,0.15,jps4,True,3.811,615,99
28,50,50,0.15,dijkstra,True,7.2836,2123,99
28,50,50,0.15,astar,True,5.9109,1720,99
28,50,50,0.15,jps4,True,4.6107,640,99
29,50,50,0.15,dijkstra,True,7.1161,2143,98
29,50,50,0.15,astar,True,4.4739,1355,98
29,50,50,0.15,jps4,True,3.3255,525,98
0,50,50,0.2,dijkstra,True,6.3285,1991,99
0,50,50,0.2,astar,True,6.7532,1527,99
0,50,50,0.2,jps4,True,4.0246,714,99
1,50,50,0.2,dijkstra,True,6.7577,2013,100
1,50,50,0.2,astar,True,4.8716,1156,100
1,50,50,0.2,jps4,True,2.9323,476,100
2,50,50,0.2,dijkstra,True,6.6625,1996,99
2,50,50,0.2,astar,True,5.2174,1286,99
2,50,50,0.2,jps4,True,3.2985,606,99
3,50,50,0.2,dijkstra,True,7.337,2005,99
3,50,50,0.2,astar,True,3.3959,1040,99
3,50,50,0.2,jps4,True,3.3306,435,99
4,50,50,0.2,dijkstra,True,6.0475,1989,99
4,50,50,0.2,astar,True,6.145,1839,99
4,50,50,0.2,jps4,True,5.6338,1011,99
5,50,50,0.2,dijkstra,True,6.1141,2004,99
5,50,50,0.2,astar,True,5.4319,1483,99
5,50,50,0.2,jps4,True,3.5818,651,99
6,50,50,0.2,dijkstra,True,6.4545,2001,98
6,50,50,0.2,astar,True,5.5757,1677,98
6,50,50,0.2,jps4,True,4.113,740,98
7,50,50,0.2,dijkstra,True,7.21,2017,99
7,50,50,0.2,astar,True,4.7408,1423,99
7,50,50,0.2,jps4,True,4.6224,630,99
8,50,50,0.2,dijkstra,True,6.4765,2005,99
8,50,50,0.2,astar,True,4.1348,1209,99
8,50,50,0.2,jps4,True,3.3091,555,99
9,50,50,0.2,dijkstra,True,5.7726,1950,99
9,50,50,0.2,astar,True,5.413,1034,99
9,50,50,0.2,jps4,True,2.7242,467,99
10,50,50,0.2,dijkstra,True,6.7041,2008,98
10,50,50,0.2,astar,True,4.1459,1273,98
10,50,50,0.2,jps4,True,3.6921,568,98
11,50,50,0.2,dijkstra,True,6.857,1992,100
11,50,50,0.2,astar,True,5.4003,1530,100
11,50,50,0.2,jps4,True,5.6698,823,100
12,50,50,0.2,dijkstra,True,5.9457,1999,99
12,50,50,0.2,astar,True,4.9651,1445,99
12,50,50,0.2,jps4,True,3.9825,669,99
13,50,50,0.2,dijkstra,True,6.0001,2025,99
13,50,50,0.2,astar,True,4.8819,1256,99
13,50,50,0.2,jps4,True,3.0671,552,99
14,50,50,0.2,dijkstra,True,6.8754,2024,99
14,50,50,0.2,astar,True,3.8724,1173,99
14,50,50,0.2,jps4,True,2.781,492,99
15,50,50,0.2,dijkstra,True,6.056,1986,96
15,50,50,0.2,astar,True,3.8252,1130,96
15,50,50,0.2,jps4,True,2.8105,503,96
16,50,50,0.2,dijkstra,True,7.2032,1986,103
16,50,50,0.2,astar,True,6.6044,1940,103
16,50,50,0.2,jps4,True,5.9253,1042,103
17,50,50,0.2,dijkstra,True,6.8443,1954,99
17,50,50,0.2,astar,True,3.5023,1035,99
17,50,50,0.2,jps4,True,2.8202,472,99
18,50,50,0.2,dijkstra,True,6.1196,1991,98
18,50,50,0.2,astar,True,4.361,1259,98
18,50,50,0.2,jps4,True,3.2434,549,98
19,50,50,0.2,dijkstra,True,6.1851,1992,99
19,50,50,0.2,astar,True,5.1455,1527,99
19,50,50,0.2,jps4,True,4.0308,705,99
20,50,50,0.2,dijkstra,True,6.737,1995,99
20,50,50,0.2,astar,True,4.2319,1254,99
20,50,50,0.2,jps4,True,4.2912,595,99
21,50,50,0.2,dijkstra,True,6.4392,1993,99
21,50,50,0.2,astar,True,5.2807,1499,99
21,50,50,0.2,jps4,True,3.8531,675,99
22,50,50,0.2,dijkstra,True,5.9734,1988,104
22,50,50,0.2,astar,True,5.9317,1585,104
22,50,50,0.2,jps4,True,4.3361,800,104
23,50,50,0.2,dijkstra,True,6.249,1973,98
23,50,50,0.2,astar,True,3.6753,1086,98
23,50,50,0.2,jps4,True,3.1111,508,98
24,50,50,0.2,dijkstra,True,6.7168,2002,98
24,50,50,0.2,astar,True,4.9554,1524,98
24,50,50,0.2,jps4,True,4.0533,709,98
25,50,50,0.2,dijkstra,True,6.0966,2018,99
25,50,50,0.2,astar,True,5.2219,1386,99
25,50,50,0.2,jps4,True,3.5887,634,99
26,50,50,0.2,dijkstra,True,6.2055,2008,99
26,50,50,0.2,astar,True,4.4838,1337,99
26,50,50,0.2,jps4,True,3.7306,614,99
27,50,50,0.2,dijkstra,True,7.3031,2026,104
27,50,50,0.2,astar,True,3.6662,1102,104
27,50,50,0.2,jps4,True,2.8516,493,104
28,50,50,0.2,dijkstra,True,6.2563,2004,99
28,50,50,0.2,astar,True,6.5576,1460,99
28,50,50,0.2,jps4,True,3.6291,620,99
29,50,50,0.2,dijkstra,True,6.4028,1980,98
29,50,50,0.2,astar,True,3.6675,1101,98
29,50,50,0.2,jps4,True,3.0554,518,98
0,50,50,0.25,dijkstra,True,7.3081,1859,102
0,50,50,0.25,astar,True,4.7258,1272,102
0,50,50,0.25,jps4,True,5.4327,689,102
1,50,50,0.25,dijkstra,True,6.0487,1861,94
1,50,50,0.25,astar,True,2.6516,765,94
1,50,50,0.25,jps4,True,2.0091,373,94
2,50,50,0.25,dijkstra,True,5.5365,1881,99
2,50,50,0.25,astar,True,3.5556,1026,99
2,50,50,0.25,jps4,True,3.0996,523,99
3,50,50,0.25,dijkstra,True,5.3821,1838,100
3,50,50,0.25,astar,True,5.3129,1340,100
3,50,50,0.25,jps4,True,3.8684,733,100
4,50,50,0.25,dijkstra,True,5.4353,1854,105
4,50,50,0.25,astar,True,4.5327,1186,105
4,50,50,0.25,jps4,True,4.2111,605,105
5,50,50,0.25,dijkstra,True,7.2373,1850,101
5,50,50,0.25,astar,True,4.6069,1341,101
5,50,50,0.25,jps4,True,3.7862,729,101
6,50,50,0.25,dijkstra,True,5.5048,1840,99
6,50,50,0.25,astar,True,3.3339,687,99
6,50,50,0.25,jps4,True,1.9875,342,99
7,50,50,0.25,dijkstra,True,6.2773,1852,98
7,50,50,0.25,astar,True,3.6458,1143,98
7,50,50,0.25,jps4,True,3.084,571,98
8,50,50,0.25,dijkstra,True,5.8225,1848,110
8,50,50,0.25,astar,True,6.0482,1711,110
8,50,50,0.25,jps4,True,5.0885,965,110
9,50,50,0.25,dijkstra,True,6.039,1885,99
9,50,50,0.25,astar,True,4.244,1272,99
9,50,50,0.25,jps4,True,4.6371,647,99
10,50,50,0.25,dijkstra,True,5.4577,1847,103
10,50,50,0.25,astar,True,3.2319,932,103
10,50,50,0.25,jps4,True,2.5644,496,103
11,50,50,0.25,dijkstra,True,5.7069,1869,102
11,50,50,0.25,astar,True,5.891,1732,102
11,50,50,0.25,jps4,True,5.098,948,102
12,50,50,0.25,dijkstra,True,5.9617,1878,101
12,50,50,0.25,astar,True,3.6614,1144,101
12,50,50,0.25,jps4,True,3.1679,594,101
13,50,50,0.25,dijkstra,True,5.4891,1867,100
13,50,50,0.25,astar,True,4.7756,1103,100
13,50,50,0.25,jps4,True,3.0012,559,100
14,50,50,0.25,dijkstra,True,6.6926,1850,99
14,50,50,0.25,astar,True,3.167,963,99
14,50,50,0.25,jps4,True,2.6076,490,99
15,50,50,0.25,dijkstra,True,5.5967,1888,97
15,50,50,0.25,astar,True,4.2125,1000,97
15,50,50,0.25,jps4,True,2.6998,495,97
16,50,50,0.25,dijkstra,True,6.0381,1878,97
16,50,50,0.25,astar,True,2.9477,883,97
16,50,50,0.25,jps4,True,2.5815,404,97
17,50,50,0.25,dijkstra,True,5.7516,1876,98
17,50,50,0.25,astar,True,5.3199,1244,98
17,50,50,0.25,jps4,True,4.0885,652,98
18,50,50,0.25,dijkstra,True,6.3293,1851,99
18,50,50,0.25,astar,True,2.5435,788,99
18,50,50,0.25,jps4,True,2.8357,364,99
19,50,50,0.25,dijkstra,True,5.4685,1850,103
19,50,50,0.25,astar,True,3.2657,712,103
19,50,50,0.25,jps4,True,2.19,368,103
20,50,50,0.25,dijkstra,True,7.3309,1850,99
20,50,50,0.25,astar,True,3.4681,1003,99
20,50,50,0.25,jps4,True,2.9571,513,99
21,50,50,0.25,dijkstra,True,6.2981,1836,102
21,50,50,0.25,astar,True,3.3138,675,102
21,50,50,0.25,jps4,True,1.6436,311,102
22,50,50,0.25,dijkstra,True,6.8234,1889,99
22,50,50,0.25,astar,True,5.1483,1588,99
22,50,50,0.25,jps4,True,5.2451,846,99
23,50,50,0.25,dijkstra,True,5.6022,1883,99
23,50,50,0.25,astar,True,3.1968,864,99
23,50,50,0.25,jps4,True,2.3553,447,99
24,50,50,0.25,dijkstra,True,6.178,1840,98
24,50,50,0.25,astar,True,2.5155,770,98
24,50,50,0.25,jps4,True,2.1403,408,98
25,50,50,0.25,dijkstra,True,5.2636,1824,102
25,50,50,0.25,astar,True,5.6536,1348,102
25,50,50,0.25,jps4,True,4.2155,759,102
26,50,50,0.25,dijkstra,True,6.0579,1850,99
26,50,50,0.25,astar,True,3.5496,1097,99
26,50,50,0.25,jps4,True,3.9686,586,99
27,50,50,0.25,dijkstra,True,5.4474,1842,99
27,50,50,0.25,astar,True,5.5322,1559,99
27,50,50,0.25,jps4,True,5.3933,954,99
28,50,50,0.25,dijkstra,True,5.7595,1838,99
28,50,50,0.25,astar,True,5.082,1581,99
28,50,50,0.25,jps4,True,5.1381,940,99
29,50,50,0.25,dijkstra,True,6.2167,1885,104
29,50,50,0.25,astar,True,2.6956,820,104
29,50,50,0.25,jps4,True,2.2093,410,104
0,50,50,0.3,dijkstra,True,5.0916,1745,102
0,50,50,0.3,astar,True,4.4143,1121,102
0,50,50,0.3,jps4,True,3.4525,648,102
1,50,50,0.3,dijkstra,True,7.5399,1718,107
1,50,50,0.3,astar,True,3.6883,1126,107
1,50,50,0.3,jps4,True,3.439,678,107
2,50,50,0.3,dijkstra,True,4.9173,1675,120
2,50,50,0.3,astar,True,2.1689,678,120
2,50,50,0.3,jps4,True,1.9779,378,120
3,50,50,0.3,dijkstra,True,5.6066,1722,96
3,50,50,0.3,astar,True,1.4102,441,96
3,50,50,0.3,jps4,True,1.3012,246,96
4,50,50,0.3,dijkstra,True,5.1981,1642,94
4,50,50,0.3,astar,True,1.6667,534,94
4,50,50,0.3,jps4,True,1.5254,300,94
5,50,50,0.3,dijkstra,True,5.692,1707,112
5,50,50,0.3,astar,True,2.4592,793,112
5,50,50,0.3,jps4,True,2.0989,431,112
6,50,50,0.3,dijkstra,True,4.6631,1693,101
6,50,50,0.3,astar,True,3.2708,1032,101
6,50,50,0.3,jps4,True,3.6536,583,101
7,50,50,0.3,dijkstra,True,4.7592,1685,108
7,50,50,0.3,astar,True,5.0976,1359,108
7,50,50,0.3,jps4,True,4.7924,803,108
8,50,50,0.3,dijkstra,True,6.5963,1728,97
8,50,50,0.3,astar,True,1.5349,464,97
8,50,50,0.3,jps4,True,2.4014,239,97
9,50,50,0.3,dijkstra,True,4.9312,1717,104
9,50,50,0.3,astar,True,4.8279,1441,104
9,50,50,0.3,jps4,True,4.8744,846,104
10,50,50,0.3,dijkstra,True,4.9391,1727,96
10,50,50,0.3,astar,True,2.9311,894,96
10,50,50,0.3,jps4,True,3.0082,513,96
11,50,50,0.3,dijkstra,True,4.5538,1580,100
11,50,50,0.3,astar,True,3.7053,1115,100
11,50,50,0.3,jps4,True,3.3404,672,100
12,50,50,0.3,dijkstra,True,5.3097,1683,100
12,50,50,0.3,astar,True,1.987,627,100
12,50,50,0.3,jps4,True,1.872,351,100
13,50,50,0.3,dijkstra,True,4.7337,1682,103
13,50,50,0.3,astar,True,2.3886,747,103
13,50,50,0.3,jps4,True,2.3997,411,103
14,50,50,0.3,dijkstra,True,4.6788,1651,110
14,50,50,0.3,astar,True,4.6456,1209,110
14,50,50,0.3,jps4,True,3.5024,713,110
15,50,50,0.3,dijkstra,True,5.7217,1730,101
15,50,50,0.3,astar,True,1.3922,445,101
15,50,50,0.3,jps4,True,1.2328,245,101
16,50,50,0.3,dijkstra,True,4.921,1671,108
16,50,50,0.3,astar,True,3.0662,977,108
16,50,50,0.3,jps4,True,2.8606,554,108
17,50,50,0.3,dijkstra,True,0.1496,50,20
17,50,50,0.3,astar,True,0.0917,31,20
17,50,50,0.3,jps4,True,0.0786,15,20
18,50,50,0.3,dijkstra,True,6.1193,1734,100
18,50,50,0.3,astar,True,2.0557,662,100
18,50,50,0.3,jps4,True,1.8669,367,100
19,50,50,0.3,dijkstra,True,4.6676,1637,97
19,50,50,0.3,astar,True,1.7304,519,97
19,50,50,0.3,jps4,True,1.3725,252,97
20,50,50,0.3,dijkstra,True,5.1861,1736,119
20,50,50,0.3,astar,True,5.7014,1474,119
20,50,50,0.3,jps4,True,4.4933,880,119
21,50,50,0.3,dijkstra,True,5.1901,1692,104
21,50,50,0.3,astar,True,3.4167,1046,104
21,50,50,0.3,jps4,True,2.8992,575,104
22,50,50,0.3,dijkstra,True,5.9189,1753,111
22,50,50,0.3,astar,True,3.7273,1149,111
22,50,50,0.3,jps4,True,3.0502,589,111
23,50,50,0.3,dijkstra,True,5.9792,1779,106
23,50,50,0.3,astar,True,4.8756,1536,106
23,50,50,0.3,jps4,True,5.0116,939,106
24,50,50,0.3,dijkstra,True,4.6962,1663,101
