trial,width,height,density,mode,ok,ms,expansions,path_cells
5,100,100,0.15,dijkstra,True,31.0173,8530,199
5,100,100,0.15,astar,True,24.7902,6584,199
5,100,100,0.15,jps4,True,17.0129,2461,199
6,100,100,0.15,dijkstra,True,44.9467,8462,199
6,100,100,0.15,astar,True,23.4555,6264,199
6,100,100,0.15,jps4,True,16.6213,2465,199
7,100,100,0.15,dijkstra,True,28.5505,8414,199
7,100,100,0.15,astar,True,25.5891,6845,199
7,100,100,0.15,jps4,True,18.831,2845,199
8,100,100,0.15,dijkstra,True,29.5574,8455,199
8,100,100,0.15,astar,True,22.7491,5845,199
8,100,100,0.15,jps4,True,14.7777,2284,199
9,100,100,0.15,dijkstra,True,28.2857,8447,199
9,100,100,0.15,astar,True,27.3048,7043,199
9,100,100,0.15,jps4,True,19.1754,2746,199
10,100,100,0.15,dijkstra,True,28.42,8494,199
10,100,100,0.15,astar,True,27.5206,7198,199
10,100,100,0.15,jps4,True,18.4335,2775,199
11,100,100,0.15,dijkstra,True,34.7898,8472,199
11,100,100,0.15,astar,True,25.3844,6333,199
11,100,100,0.15,jps4,True,18.6212,2426,199
12,100,100,0.15,dijkstra,True,33.2517,8485,199
12,100,100,0.15,astar,True,26.4827,6384,199
12,100,100,0.15,jps4,True,17.9744,2478,199
13,100,100,0.15,dijkstra,True,29.3244,8485,199
13,100,100,0.15,astar,True,22.8476,5897,199
13,100,100,0.15,jps4,True,15.6463,2257,199
14,100,100,0.15,dijkstra,True,28.9786,8535,197
14,100,100,0.15,astar,True,25.1799,6794,197
14,100,100,0.15,jps4,True,17.7054,2627,197
15,100,100,0.15,dijkstra,True,29.4164,8456,200
15,100,100,0.15,astar,True,29.5285,7279,200
15,100,100,0.15,jps4,True,20.3317,3049,200
16,100,100,0.15,dijkstra,True,28.9207,8459,200
16,100,100,0.15,astar,True,22.9671,6288,200
16,100,100,0.15,jps4,True,16.5694,2450,200
17,100,100,0.15,dijkstra,True,28.867,8441,198
17,100,100,0.15,astar,True,24.3799,6186,198
17,100,100,0.15,jps4,True,16.451,2410,198
18,100,100,0.15,dijkstra,True,29.4704,8512,198
18,100,100,0.15,astar,True,22.013,5829,198
18,100,100,0.15,jps4,True,15.6607,2274,198
19,100,100,0.15,dijkstra,True,28.54,8477,198
19,100,100,0.15,astar,True,25.1498,6304,198
19,100,100,0.15,jps4,True,17.8429,2559,198
20,100,100,0.15,dijkstra,True,29.417,8566,199
20,100,100,0.15,astar,True,23.8986,6261,199
20,100,100,0.15,jps4,True,14.7818,2323,199
21,100,100,0.15,dijkstra,True,28.368,8497,199
21,100,100,0.15,astar,True,22.2148,5998,199
21,100,100,0.15,jps4,True,15.5036,2271,199
22,100,100,0.15,dijkstra,True,29.397,8503,199
22,100,100,0.15,astar,True,24.3913,6327,199
22,100,100,0.15,jps4,True,16.6001,2457,199
23,100,100,0.15,dijkstra,True,29.8686,8550,198
23,100,100,0.15,astar,True,26.5349,6876,198
23,100,100,0.15,jps4,True,19.9317,2563,198
24,100,100,0.15,dijkstra,True,29.3292,8490,199
24,100,100,0.15,astar,True,24.8375,6395,199
24,100,100,0.15,jps4,True,16.7495,2367,199
25,100,100,0.15,dijkstra,True,28.4255,8506,199
25,100,100,0.15,astar,True,23.7752,6412,199
25,100,100,0.15,jps4,True,17.3545,2580,199
26,100,100,0.15,dijkstra,True,28.5046,8442,199
26,100,100,0.15,astar,True,26.3873,6918,199
26,100,100,0.15,jps4,True,18.3801,2689,199
27,100,100,0.15,dijkstra,True,30.0739,8513,198
27,100,100,0.15,astar,True,23.616,6209,198
27,100,100,0.15,jps4,True,16.5207,2366,198
28,100,100,0.15,dijkstra,True,28.6648,8480,199
28,100,100,0.15,astar,True,24.9481,6652,199
28,100,100,0.15,jps4,True,18.0248,2682,199
29,100,100,0.15,dijkstra,True,31.1275,8524,199
29,100,100,0.15,astar,True,24.5808,6426,199
29,100,100,0.15,jps4,True,16.5505,2468,199
0,100,100,0.2,dijkstra,True,29.8787,8022,199
0,100,100,0.2,astar,True,21.4514,5441,199
0,100,100,0.2,jps4,True,16.0805,2486,199
1,100,100,0.2,dijkstra,True,26.5689,7943,199
1,100,100,0.2,astar,True,14.7552,4037,199
1,100,100,0.2,jps4,True,11.3546,1833,199
2,100,100,0.2,dijkstra,True,27.3011,8024,199
2,100,100,0.2,astar,True,18.9893,5206,199
2,100,100,0.2,jps4,True,14.775,2371,199
3,100,100,0.2,dijkstra,True,26.6811,7944,198
3,100,100,0.2,astar,True,17.6095,4715,198
3,100,100,0.2,jps4,True,14.1878,2165,198
4,100,100,0.2,dijkstra,True,27.2519,7979,202
4,100,100,0.2,astar,True,17.2102,4620,202
4,100,100,0.2,jps4,True,12.9087,2034,202
5,100,100,0.2,dijkstra,True,29.3501,7984,198
5,100,100,0.2,astar,True,19.474,5081,198
5,100,100,0.2,jps4,True,13.9214,2298,198
6,100,100,0.2,dijkstra,True,27.3129,7970,199
6,100,100,0.2,astar,True,21.4452,5532,199
6,100,100,0.2,jps4,True,15.957,2606,199
7,100,100,0.2,dijkstra,True,26.1964,7937,194
7,100,100,0.2,astar,True,17.2115,4460,194
7,100,100,0.2,jps4,True,12.5495,1977,194
8,100,100,0.2,dijkstra,True,27.8885,8053,199
8,100,100,0.2,astar,True,20.2021,5227,199
8,100,100,0.2,jps4,True,14.5504,2318,199
9,100,100,0.2,dijkstra,True,28.0127,7976,199
9,100,100,0.2,astar,True,22.4366,6008,199
9,100,100,0.2,jps4,True,17.824,2707,199
10,100,100,0.2,dijkstra,True,26.6337,7922,199
10,100,100,0.2,astar,True,20.2746,5355,199
10,100,100,0.2,jps4,True,15.0554,2462,199
11,100,100,0.2,dijkstra,True,26.8832,8042,202
11,100,100,0.2,astar,True,28.3286,6943,202
11,100,100,0.2,jps4,True,23.2888,3549,202
12,100,100,0.2,dijkstra,True,26.9407,7910,199
12,100,100,0.2,astar,True,22.6993,5945,199
12,100,100,0.2,jps4,True,20.7655,2857,199
13,100,100,0.2,dijkstra,True,26.3508,8029,197
13,100,100,0.2,astar,True,22.9296,6232,197
13,100,100,0.2,jps4,True,19.0996,2890,197
14,100,100,0.2,dijkstra,True,27.8785,7876,198
14,100,100,0.2,astar,True,19.6311,5243,198
14,100,100,0.2,jps4,True,15.3059,2399,198
15,100,100,0.2,dijkstra,True,27.2616,7943,198
15,100,100,0.2,astar,True,15.5805,4161,198
15,100,100,0.2,jps4,True,11.8425,1939,198
16,100,100,0.2,dijkstra,True,26.2887,7912,199
16,100,100,0.2,astar,True,24.0676,6470,199
16,100,100,0.2,jps4,True,21.7947,3523,199
17,100,100,0.2,dijkstra,True,26.5665,7963,199
17,100,100,0.2,astar,True,16.1895,4359,199
17,100,100,0.2,jps4,True,14.0905,2031,199
