density,trial,mode,ok,ms,expansions,path_cells
0.28,18,astar,True,1.6767,515,77
0.28,18,jps4,True,3.2798,377,89
0.28,19,dijkstra,True,5.3631,1773,87
0.28,19,astar,True,3.0891,925,87
0.28,19,jps4,True,14.41,2259,87
0.28,20,dijkstra,True,4.2107,1410,66
0.28,20,astar,True,0.9022,261,66
0.28,20,jps4,True,2.681,331,70
0.28,21,dijkstra,True,5.2426,1742,93
0.28,21,astar,True,3.834,1146,93
0.28,21,jps4,True,15.3296,2474,93
0.28,22,dijkstra,True,5.3738,1783,83
0.28,22,astar,True,1.929,588,83
0.28,22,jps4,True,14.0855,1992,83
0.28,23,dijkstra,True,5.4865,1736,82
0.28,23,astar,True,2.0767,615,82
0.28,23,jps4,True,13.4375,1950,82
0.4,0,dijkstra,True,3.271,1126,96
0.4,0,astar,True,2.9305,660,96
0.4,0,jps4,True,2.6437,751,96
0.4,1,dijkstra,True,2.1561,799,79
0.4,1,astar,True,0.9071,299,79
0.4,1,jps4,True,1.5513,356,79
0.4,2,dijkstra,True,2.7823,840,87
0.4,2,astar,True,1.0131,304,87
0.4,2,jps4,True,6.1423,902,87
0.4,3,dijkstra,True,2.7224,990,87
0.4,3,astar,True,1.4274,452,87
0.4,3,jps4,True,4.8771,877,87
0.4,4,dijkstra,True,2.5723,820,108
0.4,4,astar,True,1.9181,636,108
0.4,4,jps4,True,3.3552,814,108
0.4,5,dijkstra,True,2.5681,915,113
0.4,5,astar,True,1.5217,517,113
0.4,5,jps4,True,1.9972,580,113
0.4,6,dijkstra,True,1.9265,678,80
0.4,6,astar,True,0.8986,292,80
0.4,6,jps4,True,3.4214,592,80
0.4,7,dijkstra,True,2.5788,954,99
0.4,7,astar,True,1.9681,647,99
0.4,7,jps4,True,3.0632,787,99
0.4,8,dijkstra,True,1.9143,668,108
0.4,8,astar,True,1.346,441,108
0.4,8,jps4,True,2.8269,624,108
0.4,9,dijkstra,True,2.9986,1051,80
0.4,9,astar,True,1.2851,393,80
0.4,9,jps4,True,2.6063,556,80
0.4,10,dijkstra,True,2.123,778,93
0.4,10,astar,True,1.133,365,93
0.4,10,jps4,True,3.8924,709,93
0.4,11,dijkstra,True,2.4668,847,89
0.4,11,astar,True,0.8658,276,89
0.4,11,jps4,True,1.5341,356,89
0.4,12,dijkstra,True,3.8045,1295,148
