density,trial,mode,ok,ms,expansions,path_cells
0.4,12,dijkstra,True,3.478,1295,148
0.4,12,astar,True,2.8763,997,148
0.4,12,jps4,True,4.5764,1045,148
0.4,13,dijkstra,True,4.0376,822,121
0.4,13,astar,True,1.8874,634,121
0.4,13,jps4,True,2.9801,725,121
0.4,14,dijkstra,True,3.9575,856,86
0.4,14,astar,True,1.4536,472,86
0.4,14,jps4,True,1.657,495,86
0.4,15,dijkstra,True,2.9736,1082,106
0.4,15,astar,True,1.8553,618,106
0.4,15,jps4,True,2.1348,655,106
0.4,16,dijkstra,True,1.99,718,77
0.4,16,astar,True,1.2356,325,77
0.4,16,jps4,True,4.119,699,77
0.4,17,dijkstra,True,2.4663,799,89
0.4,17,astar,True,1.2158,392,89
0.4,17,jps4,True,1.3043,409,89
0.4,18,dijkstra,True,3.7929,1072,81
0.4,18,astar,True,1.0043,320,81
0.4,18,jps4,True,2.1991,476,81
0.4,19,dijkstra,True,3.1459,1157,91
0.4,19,astar,True,2.438,810,91
0.4,19,jps4,True,3.5731,919,91
0.4,20,dijkstra,True,1.9187,710,118
0.4,20,astar,True,1.6563,572,118
0.4,20,jps4,True,2.8123,681,118
0.4,21,dijkstra,True,2.5336,908,118
0.4,21,astar,True,2.3381,786,118
0.4,21,jps4,True,2.5626,815,118
0.4,22,dijkstra,True,2.4446,834,113
0.4,22,astar,True,1.8011,563,113
0.4,22,jps4,True,3.9255,858,113
0.4,23,dijkstra,True,3.494,1240,93
0.4,23,astar,True,1.6372,547,93
0.4,23,jps4,True,2.9557,678,93
