density,trial,mode,ok,ms,expansions,path_cells
0.15,0,dijkstra,True,8.4218,2080,88
0.15,0,astar,True,4.033,1140,88
0.15,0,jps4,True,5.0619,409,88
0.15,1,dijkstra,True,6.4421,2041,76
0.15,1,astar,True,2.461,747,76
0.15,1,jps4,True,12.5926,1346,92
0.15,2,dijkstra,True,7.8235,2017,71
0.15,2,astar,True,2.7905,854,71
0.15,2,jps4,True,4.5795,282,71
0.15,3,dijkstra,True,7.8447,1931,72
0.15,3,astar,True,2.6645,752,72
0.15,3,jps4,True,3.3554,319,74
0.15,4,dijkstra,True,6.5936,2061,76
0.15,4,astar,True,3.1193,970,76
0.15,4,jps4,True,2.775,342,76
0.15,5,dijkstra,True,6.6117,2097,85
0.15,5,astar,True,5.7207,1147,85
0.15,5,jps4,True,2.4919,313,85
0.15,6,dijkstra,True,8.4918,2028,73
0.15,6,astar,True,2.9297,897,73
0.15,6,jps4,True,1.8224,219,73
0.15,7,dijkstra,True,6.8038,2090,74
0.15,7,astar,True,4.7985,851,74
0.15,7,jps4,True,4.8137,606,76
0.15,8,dijkstra,True,8.6753,2138,87
0.15,8,astar,True,4.447,1360,87
0.15,8,jps4,True,7.5507,814,89
0.15,9,dijkstra,True,6.488,2093,76
0.15,9,astar,True,4.6113,934,76
0.15,9,jps4,True,3.9369,425,76
0.15,10,dijkstra,True,6.4736,2083,82
0.15,10,astar,True,6.2912,1402,82
0.15,10,jps4,True,5.6367,661,82
0.15,11,dijkstra,True,6.8501,2094,76
0.15,11,astar,True,3.8353,1141,76
0.15,11,jps4,True,6.8495,788,76
0.15,12,dijkstra,True,9.0924,2056,78
0.15,12,astar,True,3.9886,1217,78
0.15,12,jps4,True,6.1775,541,78
0.15,13,dijkstra,True,6.6256,2014,68
0.15,13,astar,True,4.0373,721,68
0.15,13,jps4,True,3.4911,378,68
0.15,14,dijkstra,True,7.5841,2111,80
0.15,14,astar,True,3.4275,1043,80
0.15,14,jps4,True,6.0658,696,82
0.15,15,dijkstra,True,8.4547,2059,84
0.15,15,astar,True,4.0834,1228,84
0.15,15,jps4,True,4.863,554,84
0.15,16,dijkstra,True,6.2994,2079,81
0.15,16,astar,True,3.7883,1038,81
0.15,16,jps4,True,2.4035,293,81
0.15,17,dijkstra,True,8.4678,2043,72
0.15,17,astar,True,3.149,955,72
0.15,17,jps4,True,3.223,336,72
0.15,18,dijkstra,True,5.8735,1892,68
0.15,18,astar,True,4.2739,737,68
0.15,18,jps4,True,3.2265,385,68
0.15,19,dijkstra,True,6.7056,2093,72
0.15,19,astar,True,3.2535,995,72
0.15,19,jps4,True,3.0707,375,72
0.15,20,dijkstra,True,8.3716,2148,79
0.15,20,astar,True,3.3917,1028,79
0.15,20,jps4,True,6.6905,619,79
0.15,21,dijkstra,True,7.6219,2107,89
0.15,21,astar,True,4.8881,1379,89
0.15,21,jps4,True,4.4348,392,89
0.15,22,dijkstra,True,6.8758,2065,77
0.15,22,astar,True,4.865,1027,77
0.15,22,jps4,True,2.8594,341,77
0.15,23,dijkstra,True,8.0481,2073,69
0.15,23,astar,True,2.9806,909,69
0.15,23,jps4,True,2.4618,287,69
0.28,0,dijkstra,True,5.0794,1778,84
0.28,0,astar,True,2.5938,586,84
0.28,0,jps4,True,15.2174,2042,84
0.28,1,dijkstra,True,4.9292,1487,81
0.28,1,astar,True,3.1104,640,81
0.28,1,jps4,True,2.0473,647,81
0.28,2,dijkstra,True,5.1978,1693,91
0.28,2,astar,True,2.3357,736,91
0.28,2,jps4,True,5.1187,378,93
0.28,3,dijkstra,True,5.5681,1748,83
0.28,3,astar,True,1.4222,410,83
0.28,3,jps4,True,1.2245,142,83
0.28,4,dijkstra,True,6.2969,1717,82
0.28,4,astar,True,2.3884,738,82
0.28,4,jps4,True,13.643,1961,82
0.28,5,dijkstra,True,6.6439,1734,75
0.28,5,astar,True,2.4835,783,75
0.28,5,jps4,True,2.2355,271,75
0.28,6,dijkstra,True,5.3054,1622,73
0.28,6,astar,True,1.5553,486,73
0.28,6,jps4,True,2.7959,569,73
0.28,7,dijkstra,True,5.0674,1731,78
0.28,7,astar,True,3.7154,709,78
0.28,7,jps4,True,2.2237,281,78
0.28,8,dijkstra,True,4.9364,1716,82
0.28,8,astar,True,2.4022,510,82
0.28,8,jps4,True,2.8346,352,92
0.28,9,dijkstra,True,5.4161,1771,92
0.28,9,astar,True,4.1071,849,92
0.28,9,jps4,True,4.7567,577,96
0.28,10,dijkstra,True,4.9125,1141,72
0.28,10,astar,True,0.9376,294,72
0.28,10,jps4,True,1.1823,323,72
0.28,11,dijkstra,True,4.7863,1637,91
0.28,11,astar,True,2.4582,765,91
0.28,11,jps4,True,2.6427,784,91
0.28,12,dijkstra,True,6.4464,1726,86
0.28,12,astar,True,2.1485,670,86
0.28,12,jps4,True,2.5253,675,86
0.28,13,dijkstra,True,4.6325,1590,67
0.28,13,astar,True,1.423,423,67
0.28,13,jps4,True,2.4511,277,67
0.28,14,dijkstra,True,4.2583,1449,79
0.28,14,astar,True,2.5763,517,79
0.28,14,jps4,True,1.6819,532,79
0.28,15,dijkstra,True,6.3228,1724,82
0.28,15,astar,True,2.03,636,82
0.28,15,jps4,True,3.2683,239,86
0.28,16,dijkstra,True,4.9274,1649,76
0.28,16,astar,True,3.7367,727,76
0.28,16,jps4,True,14.2846,1974,76
0.28,17,dijkstra,True,4.9608,1705,71
0.28,17,astar,True,3.2828,566,71
0.28,17,jps4,True,13.5582,1868,71
0.28,18,dijkstra,True,5.3422,1758,77
0.28,18,astar,True,1.6957,515,77
0.28,18,jps4,True,4.3279,377,89
0.28,19,dijkstra,True,6.1643,1773,87
0.28,19,astar,True,2.9133,925,87
0.28,19,jps4,True,15.3859,2259,87
0.28,20,dijkstra,True,5.6463,1410,66
0.28,20,astar,True,0.8472,261,66
0.28,20,jps4,True,2.6442,331,70
0.28,21,dijkstra,True,5.1091,1742,93
0.28,21,astar,True,3.6812,1146,93
0.28,21,jps4,True,15.694,2474,93
0.28,22,dijkstra,True,5.1241,1783,83
0.28,22,astar,True,1.8592,588,83
0.28,22,jps4,True,14.1232,1992,83
0.28,23,dijkstra,True,4.9094,1736,82
0.28,23,astar,True,2.0615,615,82
0.28,23,jps4,True,14.7244,1950,82
0.4,0,dijkstra,True,4.3314,1126,96
0.4,0,astar,True,1.934,660,96
0.4,0,jps4,True,2.8644,751,96
0.4,1,dijkstra,True,2.159,799,79
0.4,1,astar,True,0.8928,299,79
0.4,1,jps4,True,1.9916,356,79
0.4,2,dijkstra,True,2.2928,840,87
0.4,2,astar,True,0.9341,304,87
0.4,2,jps4,True,7.2586,902,87
0.4,3,dijkstra,True,2.6675,990,87
0.4,3,astar,True,1.3875,452,87
0.4,3,jps4,True,4.7088,877,87
0.4,4,dijkstra,True,2.4214,820,108
0.4,4,astar,True,1.8426,636,108
0.4,4,jps4,True,3.2323,814,108
0.4,5,dijkstra,True,2.5371,915,113
0.4,5,astar,True,1.5694,517,113
0.4,5,jps4,True,2.3796,580,113
0.4,6,dijkstra,True,1.9189,678,80
0.4,6,astar,True,0.9233,292,80
0.4,6,jps4,True,3.1511,592,80
0.4,7,dijkstra,True,2.6113,954,99
0.4,7,astar,True,1.9323,647,99
0.4,7,jps4,True,3.4534,787,99
0.4,8,dijkstra,True,1.8566,668,108
0.4,8,astar,True,1.3587,441,108
0.4,8,jps4,True,2.687,624,108
0.4,9,dijkstra,True,2.9204,1051,80
0.4,9,astar,True,1.8044,393,80
0.4,9,jps4,True,2.4567,556,80
0.4,10,dijkstra,True,3.449,778,93
0.4,10,astar,True,1.1402,365,93
0.4,10,jps4,True,3.8465,709,93
0.4,11,dijkstra,True,2.3723,847,89
0.4,11,astar,True,0.8282,276,89
0.4,11,jps4,True,1.5098,356,89
