density,trial,mode,ok,ms,expansions,path_cells
0.15,0,dijkstra,True,7.505,2080,88
0.15,0,astar,True,4.8003,1140,88
0.15,0,jps4,True,4.18,409,88
0.15,1,dijkstra,True,7.0177,2041,76
0.15,1,astar,True,3.1177,747,76
0.15,1,jps4,True,12.4366,1346,92
0.15,2,dijkstra,True,7.9118,2004,84
0.15,2,astar,True,3.9187,1155,84
0.15,2,jps4,False,4.248,433,0
0.15,3,dijkstra,True,7.7507,2017,62
0.15,3,astar,True,2.1916,663,62
0.15,3,jps4,False,2.944,355,0
0.15,4,dijkstra,True,6.6556,2098,86
0.15,4,astar,True,8.213,1198,86
0.15,4,jps4,False,3.4143,404,0
0.15,5,dijkstra,True,7.7369,2085,73
0.15,5,astar,True,3.4687,853,73
0.15,5,jps4,False,3.441,414,0
0.15,6,dijkstra,True,6.8472,2071,86
0.15,6,astar,True,5.2548,1205,86
0.15,6,jps4,False,2.919,340,0
0.15,7,dijkstra,True,6.9877,1923,76
0.15,7,astar,True,4.0856,1060,76
0.15,7,jps4,False,5.304,482,0
0.15,8,dijkstra,True,6.9097,2017,68
0.15,8,astar,True,2.2633,685,68
0.15,8,jps4,False,1.8609,215,0
0.15,9,dijkstra,True,7.7071,2017,71
0.15,9,astar,True,3.7012,854,71
0.15,9,jps4,True,2.2632,282,71
0.15,10,dijkstra,True,6.6778,2099,86
0.15,10,astar,True,5.6509,1226,86
0.15,10,jps4,False,3.9303,477,0
0.15,11,dijkstra,True,7.2332,2130,76
0.15,11,astar,True,5.2762,1190,76
0.15,11,jps4,False,2.3305,272,0
0.15,12,dijkstra,True,8.2509,2084,77
0.15,12,astar,True,3.4073,1026,77
0.15,12,jps4,False,4.4322,403,0
0.15,13,dijkstra,True,6.4385,1931,72
0.15,13,astar,True,2.4925,752,72
0.15,13,jps4,True,2.8212,319,74
0.15,14,dijkstra,True,5.9444,1914,68
0.15,14,astar,True,3.2606,832,68
0.15,14,jps4,False,1.3219,133,0
0.15,15,dijkstra,True,7.6144,1907,71
0.15,15,astar,True,2.8807,874,71
0.15,15,jps4,False,10.0929,976,0
0.15,16,dijkstra,True,7.3816,2061,76
0.15,16,astar,True,3.447,970,76
0.15,16,jps4,True,4.0339,342,76
0.15,17,dijkstra,True,6.8489,2056,79
0.15,17,astar,True,3.332,973,79
0.15,17,jps4,False,8.8584,939,0
0.15,18,dijkstra,True,7.2606,2097,85
0.15,18,astar,True,4.1121,1147,85
0.15,18,jps4,True,2.8379,313,85
0.15,19,dijkstra,True,6.6027,1969,68
0.15,19,astar,True,3.9329,855,68
0.15,19,jps4,False,3.3129,365,0
0.15,20,dijkstra,True,6.954,2109,81
0.15,20,astar,True,4.2718,1138,81
0.15,20,jps4,False,2.7003,325,0
0.15,21,dijkstra,True,6.3514,1833,67
0.15,21,astar,True,2.365,718,67
0.15,21,jps4,False,2.8966,257,0
0.15,22,dijkstra,True,6.9072,2103,73
0.15,22,astar,True,4.0721,1093,73
0.15,22,jps4,False,3.2687,331,0
0.15,23,dijkstra,True,7.3121,2088,90
0.15,23,astar,True,4.9344,1232,90
0.15,23,jps4,False,4.4863,458,0
0.28,0,dijkstra,True,4.5598,1577,78
0.28,0,astar,True,1.9227,602,78
0.28,0,jps4,False,3.6174,322,0
0.28,1,dijkstra,True,7.391,1769,80
0.28,1,astar,True,1.3467,413,80
0.28,1,jps4,False,7.2241,724,0
0.28,2,dijkstra,True,5.3377,1615,76
0.28,2,astar,True,1.0733,303,76
0.28,2,jps4,False,2.2726,279,0
0.28,3,dijkstra,True,5.5841,1789,66
0.28,3,astar,True,1.4639,445,66
0.28,3,jps4,False,4.5195,405,0
0.28,4,dijkstra,True,4.7294,1627,79
0.28,4,astar,True,2.8898,787,79
0.28,4,jps4,False,4.0184,500,0
0.28,5,dijkstra,True,6.1848,1814,87
0.28,5,astar,True,2.6382,821,87
0.28,5,jps4,False,7.4076,777,0
0.28,6,dijkstra,True,5.792,1695,79
0.28,6,astar,True,1.6874,432,79
0.28,6,jps4,False,5.133,627,0
0.28,7,dijkstra,True,5.0818,1682,76
0.28,7,astar,True,1.2337,383,76
0.28,7,jps4,False,6.3431,545,0
0.28,8,dijkstra,True,5.2778,1748,85
0.28,8,astar,True,1.7644,531,85
0.28,8,jps4,False,3.3931,412,0
0.28,9,dijkstra,True,5.5877,1737,86
0.28,9,astar,True,2.0212,614,86
0.28,9,jps4,False,7.7045,821,0
0.28,10,dijkstra,True,5.1287,1635,81
0.28,10,astar,True,2.4963,586,81
0.28,10,jps4,False,3.1402,386,0
0.28,11,dijkstra,True,5.3883,1626,89
0.28,11,astar,True,1.603,511,89
0.28,11,jps4,False,5.4936,445,0
0.28,12,dijkstra,True,5.2588,1778,84
0.28,12,astar,True,2.5769,586,84
0.28,12,jps4,True,15.8834,2042,84
0.28,13,dijkstra,True,4.8423,1487,81
0.28,13,astar,True,2.164,640,81
0.28,13,jps4,True,2.1075,647,81
0.28,14,dijkstra,True,4.6398,1608,70
0.28,14,astar,True,1.2613,386,70
0.28,14,jps4,False,6.8728,716,0
0.28,15,dijkstra,True,6.4679,1751,77
0.28,15,astar,True,1.6675,518,77
0.28,15,jps4,False,2.5654,307,0
0.28,16,dijkstra,True,4.9165,1693,91
0.28,16,astar,True,5.1604,736,91
0.28,16,jps4,True,2.9821,378,93
0.28,17,dijkstra,True,5.4778,1512,75
0.28,17,astar,True,1.2321,387,75
0.28,17,jps4,False,8.6713,939,0
0.28,18,dijkstra,True,5.3816,1719,85
0.28,18,astar,True,1.6334,421,85
0.28,18,jps4,False,3.1622,388,0
0.28,19,dijkstra,True,6.9862,1802,85
0.28,19,astar,True,1.4883,465,85
0.28,19,jps4,False,2.8261,336,0
0.28,20,dijkstra,True,4.8406,1627,81
0.28,20,astar,True,1.6437,502,81
0.28,20,jps4,False,4.5306,507,0
0.28,21,dijkstra,True,6.0369,1749,75
0.28,21,astar,True,1.4634,432,75
0.28,21,jps4,False,1.9154,232,0
0.28,22,dijkstra,True,5.9126,1748,83
0.28,22,astar,True,1.3302,410,83
0.28,22,jps4,True,1.416,142,83
0.28,23,dijkstra,True,4.9606,1709,77
0.28,23,astar,True,2.5633,653,77
0.28,23,jps4,False,1.6375,180,0
0.4,0,dijkstra,True,3.1462,1126,96
0.4,0,astar,True,2.1862,660,96
0.4,0,jps4,True,2.6931,751,96
0.4,1,dijkstra,True,2.2319,799,79
0.4,1,astar,True,0.9143,299,79
0.4,1,jps4,True,1.3347,356,79
0.4,2,dijkstra,True,2.4631,840,87
0.4,2,astar,True,0.939,304,87
0.4,2,jps4,True,5.7353,902,87
0.4,3,dijkstra,True,2.7082,990,87
0.4,3,astar,True,1.4289,452,87
0.4,3,jps4,True,5.6424,877,87
0.4,4,dijkstra,True,2.2402,820,108
