density,trial,mode,ok,ms,expansions,path_cells
0.4,4,astar,True,2.5224,636,108
0.4,4,jps4,True,3.1836,814,108
0.4,5,dijkstra,True,2.497,915,113
0.4,5,astar,True,1.5477,517,113
0.4,5,jps4,True,2.9514,580,113
0.4,6,dijkstra,True,1.908,678,80
0.4,6,astar,True,1.4037,292,80
0.4,6,jps4,True,3.2911,592,80
0.4,7,dijkstra,True,3.3421,954,99
0.4,7,astar,True,2.0395,647,99
0.4,7,jps4,True,2.9918,787,99
0.4,8,dijkstra,True,1.8618,668,108
0.4,8,astar,True,1.4713,441,108
0.4,8,jps4,True,2.9243,624,108
0.4,9,dijkstra,True,3.4671,1051,80
0.4,9,astar,True,1.5503,393,80
0.4,9,jps4,True,2.597,556,80
0.4,10,dijkstra,True,2.6287,778,93
0.4,10,astar,True,1.1479,365,93
0.4,10,jps4,True,3.779,709,93
0.4,11,dijkstra,True,2.4355,847,89
0.4,11,astar,True,1.3985,276,89
0.4,11,jps4,True,1.6358,356,89
0.4,12,dijkstra,True,3.4454,1295,148
0.4,12,astar,True,4.066,997,148
0.4,12,jps4,True,3.2513,1045,148
0.4,13,dijkstra,True,2.2518,822,121
0.4,13,astar,True,1.9653,634,121
0.4,13,jps4,True,3.4114,725,121
0.4,14,dijkstra,True,3.1451,904,80
0.4,14,astar,True,1.155,384,80
0.4,14,jps4,False,2.3925,305,0
0.4,15,dijkstra,True,2.796,856,86
0.4,15,astar,True,1.451,472,86
0.4,15,jps4,True,1.6412,495,86
0.4,16,dijkstra,True,2.8806,1082,106
0.4,16,astar,True,2.2601,618,106
0.4,16,jps4,True,2.1101,655,106
0.4,17,dijkstra,True,2.5637,718,77
0.4,17,astar,True,1.025,325,77
0.4,17,jps4,True,4.2279,699,77
0.4,18,dijkstra,True,3.341,1179,88
0.4,18,astar,True,2.2526,582,88
0.4,18,jps4,False,2.709,344,0
0.4,19,dijkstra,True,2.6308,799,89
0.4,19,astar,True,1.2218,392,89
0.4,19,jps4,True,1.3813,409,89
0.4,20,dijkstra,True,3.6819,1072,81
0.4,20,astar,True,1.0101,320,81
0.4,20,jps4,True,2.2896,476,81
0.4,21,dijkstra,True,3.2046,1157,91
0.4,21,astar,True,2.8099,810,91
0.4,21,jps4,True,3.6759,919,91
0.4,22,dijkstra,True,1.896,710,118
0.4,22,astar,True,1.6711,572,118
0.4,22,jps4,True,3.144,681,118
0.4,23,dijkstra,True,1.6674,612,85
0.4,23,astar,True,1.3043,426,85
0.4,23,jps4,False,3.7708,313,0
