density,trial,mode,ok,ms,expansions,path_cells
0.15,0,dijkstra,True,7.5777,2131,99
0.15,0,astar,True,5.06,1500,99
0.15,0,jps4,True,3.8171,551,99
0.15,1,dijkstra,True,6.5522,2122,97
0.15,1,astar,True,5.5073,1613,97
0.15,1,jps4,True,3.6775,592,97
0.15,2,dijkstra,True,7.6265,2092,99
0.15,2,astar,True,6.5224,1901,99
0.15,2,jps4,True,5.3812,849,99
0.15,3,dijkstra,True,6.6416,2078,99
0.15,3,astar,True,5.6892,1521,99
0.15,3,jps4,True,3.8474,653,99
0.15,4,dijkstra,True,6.6742,2153,99
0.15,4,astar,True,7.0671,1729,99
0.15,4,jps4,True,4.0065,599,99
0.15,5,dijkstra,True,6.8336,2103,99
0.15,5,astar,True,5.7708,1620,99
0.15,5,jps4,True,4.1047,667,99
0.15,6,dijkstra,True,6.7685,2101,99
0.15,6,astar,True,5.4795,1347,99
0.15,6,jps4,True,3.5292,555,99
0.15,7,dijkstra,True,7.1934,2121,99
0.15,7,astar,True,5.3638,1581,99
0.15,7,jps4,True,4.0132,613,99
0.15,8,dijkstra,True,6.8451,2128,99
0.15,8,astar,True,5.0571,1475,99
0.15,8,jps4,True,4.0365,578,99
0.15,9,dijkstra,True,7.1873,2120,101
0.15,9,astar,True,4.5421,1381,101
0.15,9,jps4,True,3.1654,518,101
0.15,10,dijkstra,True,6.8439,2147,100
0.15,10,astar,True,7.0104,1912,100
0.15,10,jps4,True,4.8421,735,100
0.15,11,dijkstra,True,6.6575,2137,99
0.15,11,astar,True,7.034,1679,99
0.15,11,jps4,True,3.796,608,99
0.15,12,dijkstra,True,6.5878,2117,99
0.15,12,astar,True,6.5205,1581,99
0.15,12,jps4,True,3.7091,570,99
0.15,13,dijkstra,True,6.7673,2127,100
0.15,13,astar,True,6.5656,1680,100
0.15,13,jps4,True,3.8305,621,100
0.15,14,dijkstra,True,7.4307,2135,99
0.15,14,astar,True,6.3258,1767,99
0.15,14,jps4,True,4.1547,684,99
0.15,15,dijkstra,True,8.1027,2110,99
0.15,15,astar,True,7.1657,1735,99
0.15,15,jps4,True,4.2294,658,99
0.15,16,dijkstra,True,6.8151,2099,99
0.15,16,astar,True,5.5016,1570,99
0.15,16,jps4,True,4.6488,617,99
0.15,17,dijkstra,True,7.2287,2106,99
0.15,17,astar,True,5.2001,1536,99
0.15,17,jps4,True,5.1045,647,99
0.15,18,dijkstra,True,7.3037,2087,99
0.15,18,astar,True,5.1421,1567,99
0.15,18,jps4,True,4.0116,606,99
0.15,19,dijkstra,True,7.3478,2126,99
0.15,19,astar,True,4.1449,1252,99
0.15,19,jps4,True,2.9766,469,99
0.15,20,dijkstra,True,6.9237,2156,99
0.15,20,astar,True,7.6258,1804,99
0.15,20,jps4,True,3.8615,636,99
0.15,21,dijkstra,True,7.0026,2152,99
0.15,21,astar,True,6.37,1823,99
0.15,21,jps4,True,4.5027,673,99
0.15,22,dijkstra,True,6.7839,2118,98
0.15,22,astar,True,5.7741,1590,98
0.15,22,jps4,True,3.8192,635,98
0.15,23,dijkstra,True,6.9106,2091,99
0.15,23,astar,True,5.296,1575,99
0.15,23,jps4,True,3.7241,639,99
0.28,0,dijkstra,True,5.7177,1704,86
0.28,0,astar,True,1.8989,603,86
0.28,0,jps4,True,1.7366,319,86
0.28,1,dijkstra,True,5.5723,1795,103
0.28,1,astar,True,2.449,766,103
0.28,1,jps4,True,2.0761,394,103
0.28,2,dijkstra,True,5.3533,1751,95
0.28,2,astar,True,10.4452,645,95
0.28,2,jps4,True,11.9243,366,95
0.28,3,dijkstra,True,9.202,1699,105
0.28,3,astar,True,4.4785,1422,105
0.28,3,jps4,True,5.1621,809,105
0.28,4,dijkstra,True,5.986,1812,100
0.28,4,astar,True,2.8761,890,100
0.28,4,jps4,True,4.7829,493,100
0.28,5,dijkstra,True,12.298,1779,104
0.28,5,astar,True,5.6415,1645,104
